SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:CF:AE, ch : 44 (5220MHz, 5GHz), PWR : -44, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:CF:AF, ch : 44 (5220MHz, 5GHz), PWR : -44, Beacon : 1
SSID : KITRI_Mentee2, BSSID : 00:FC:BA:EC:BA:8E, ch : 44 (5220MHz, 5GHz), PWR : -83, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:CF:2C, ch : 48 (5240MHz, 5GHz), PWR : -61, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:CF:2D, ch : 48 (5240MHz, 5GHz), PWR : -61, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:CF:2E, ch : 48 (5240MHz, 5GHz), PWR : -62, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:CF:2F, ch : 48 (5240MHz, 5GHz), PWR : -62, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D4:6C, ch : 48 (5240MHz, 5GHz), PWR : -69, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D4:6D, ch : 48 (5240MHz, 5GHz), PWR : -73, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D4:6E, ch : 48 (5240MHz, 5GHz), PWR : -73, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D4:6F, ch : 48 (5240MHz, 5GHz), PWR : -75, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D8:AC, ch : 48 (5240MHz, 5GHz), PWR : -48, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D8:AD, ch : 48 (5240MHz, 5GHz), PWR : -46, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D8:AE, ch : 48 (5240MHz, 5GHz), PWR : -49, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D8:AF, ch : 48 (5240MHz, 5GHz), PWR : -48, Beacon : 1
SSID : A50, BSSID : F8:E9:03:C1:10:E6, ch : 48 (5240MHz, 5GHz), PWR : -82, Beacon : 1
SSID : A50GEST, BSSID : F8:E9:03:C1:10:E7, ch : 48 (5240MHz, 5GHz), PWR : -82, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:CF:2C, ch : 48 (5240MHz, 5GHz), PWR : -62, Beacon : 2
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:CF:2D, ch : 48 (5240MHz, 5GHz), PWR : -61, Beacon : 2
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:CF:2E, ch : 52 (5260MHz, 5GHz), PWR : -62, Beacon : 2
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:CF:2F, ch : 52 (5260MHz, 5GHz), PWR : -61, Beacon : 2
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D8:AC, ch : 52 (5260MHz, 5GHz), PWR : -48, Beacon : 2
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D8:AD, ch : 52 (5260MHz, 5GHz), PWR : -47, Beacon : 2
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D8:AE, ch : 52 (5260MHz, 5GHz), PWR : -47, Beacon : 2
SSID : Consulting_5G, BSSID : 00:31:92:34:5A:B2, ch : 52 (5260MHz, 5GHz), PWR : -62, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D4:6C, ch : 52 (5260MHz, 5GHz), PWR : -74, Beacon : 2
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D4:6D, ch : 52 (5260MHz, 5GHz), PWR : -73, Beacon : 2
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D4:6E, ch : 52 (5260MHz, 5GHz), PWR : -75, Beacon : 2
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D4:6F, ch : 52 (5260MHz, 5GHz), PWR : -75, Beacon : 2
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D8:6C, ch : 60 (5300MHz, 5GHz), PWR : -64, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D8:6D, ch : 60 (5300MHz, 5GHz), PWR : -65, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D8:6E, ch : 60 (5300MHz, 5GHz), PWR : -61, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D8:6F, ch : 60 (5300MHz, 5GHz), PWR : -60, Beacon : 1
SSID : KITRI_Mentee, BSSID : 00:FC:BA:EC:D2:6C, ch : 100 (5500MHz, 5GHz), PWR : -76, Beacon : 1
SSID : KITRI_Guest, BSSID : 00:FC:BA:EC:D2:6D, ch : 100 (5500MHz, 5GHz), PWR : -75, Beacon : 1
SSID : KITRI_Mentee2, BSSID : 00:FC:BA:EC:D2:6E, ch : 100 (5500MHz, 5GHz), PWR : -78, Beacon : 1
SSID : KITRI_BoB, BSSID : 00:FC:BA:EC:D2:6F, ch : 100 (5500MHz, 5GHz), PWR : -76, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D0:CC, ch : 104 (5520MHz, 5GHz), PWR : -84, Beacon : 2
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D0:CD, ch : 104 (5520MHz, 5GHz), PWR : -86, Beacon : 2
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D0:CE, ch : 104 (5520MHz, 5GHz), PWR : -86, Beacon : 2
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D0:CF, ch : 104 (5520MHz, 5GHz), PWR : -85, Beacon : 2
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D8:CF, ch : 104 (5520MHz, 5GHz), PWR : -84, Beacon : 2
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:CF:AC, ch : 108 (5540MHz, 5GHz), PWR : -85, Beacon : 2
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:CF:AD, ch : 108 (5540MHz, 5GHz), PWR : -86, Beacon : 2
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:CF:AE, ch : 108 (5540MHz, 5GHz), PWR : -86, Beacon : 2
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:CF:AF, ch : 108 (5540MHz, 5GHz), PWR : -84, Beacon : 2
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D1:6C, ch : 112 (5560MHz, 5GHz), PWR : -91, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D8:AE, ch : 112 (5560MHz, 5GHz), PWR : -87, Beacon : 3
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D8:AF, ch : 112 (5560MHz, 5GHz), PWR : -85, Beacon : 2
SSID : ASUS_28_5G, BSSID : 04:D9:F5:FA:86:2C, ch : 112 (5560MHz, 5GHz), PWR : -84, Beacon : 1
SSID : KITRI_Mentee, BSSID : B8:11:4B:C7:D3:EC, ch : 149 (5745MHz, 5GHz), PWR : -33, Beacon : 1
SSID : KITRI_Guest, BSSID : B8:11:4B:C7:D3:ED, ch : 149 (5745MHz, 5GHz), PWR : -32, Beacon : 1
SSID : KITRI_Mentee2, BSSID : B8:11:4B:C7:D3:EE, ch : 149 (5745MHz, 5GHz), PWR : -30, Beacon : 1
SSID : KITRI_BoB, BSSID : B8:11:4B:C7:D3:EF, ch : 149 (5745MHz, 5GHz), PWR : -35, Beacon : 1
SSID : KITRI_Mentee, BSSID : 00:FC:BA:EC:DA:4C, ch : 149 (5745MHz, 5GHz), PWR : -55, Beacon : 1
SSID : KITRI_Guest, BSSID : 00:FC:BA:EC:DA:4D, ch : 149 (5745MHz, 5GHz), PWR : -52, Beacon : 1
SSID : KITRI_Mentee2, BSSID : 00:FC:BA:EC:DA:4E, ch : 149 (5745MHz, 5GHz), PWR : -52, Beacon : 1
SSID : KITRI_BoB, BSSID : 00:FC:BA:EC:DA:4F, ch : 149 (5745MHz, 5GHz), PWR : -52, Beacon : 1
SSID : KITRI_Mentee, BSSID : 00:FC:BA:EC:C2:0C, ch : 149 (5745MHz, 5GHz), PWR : -71, Beacon : 1
SSID : KITRI_Guest, BSSID : 00:FC:BA:EC:C2:0D, ch : 149 (5745MHz, 5GHz), PWR : -71, Beacon : 1
SSID : KITRI_Mentee2, BSSID : 00:FC:BA
